,조사연월,가구구분코드,가구원수,취업인원수,노인가구여부,가구주_연령,가구주_학력코드,가구주_취업여부,가구주_10차산업분류코드,거처구분코드,입주형태코드,전국전체가구_1인이상소득10분위코드,소득구간코드,가계지출금액,가계지출_소비지출금액,가계지출_소비지출_식료품비주류음료구입비,가계지출_소비지출_주류담배구입비,가계지출_소비지출_의류신발구입비,가계지출_소비지출_주거수도광열비,가계지출_소비지출_가정용품가사서비스이용금액,가계지출_소비지출_보건제품구입비,가계지출_소비지출_교통비,가계지출_소비지출_통신비,가계지출_소비지출_오락문화비,가계지출_소비지출_교육비,가계지출_소비지출_음식숙박비,가계지출_소비지출_기타상품서비스이용금액,도시읍면부구분코드
9258,202400.0,2.0,1.0,1.0,0.0,56.0,4.0,1.0,G,3.0,6.0,2.0,3.0,1755456.0,1486506.0,53280.0,16790.0,50000.0,329500.0,0.0,230200.0,518500.0,36736.0,0.0,0.0,226000.0,25500.0,1.0
9259,,2.0,1.0,1.0,0.0,56.0,4.0,1.0,I,1.0,6.0,3.0,3.0,2096739.0,1556193.0,192484.0,250.0,22387.0,306478.0,61718.0,432000.0,36767.0,33901.0,26695.0,0.0,233701.0,209812.0,1.0
9260,202400.0,2.0,1.0,1.0,0.0,56.0,4.0,1.0,I,2.0,1.0,4.0,4.0,1202048.0,890814.0,314462.0,1100.0,70883.0,154385.0,19230.0,73870.0,14117.0,29393.0,4700.0,0.0,77200.0,131474.0,1.0
9261,202400.0,2.0,1.0,1.0,0.0,56.0,4.0,1.0,I,2.0,4.0,4.0,4.0,3589329.0,3240076.0,120064.0,0.0,125932.0,128810.0,80287.0,1500318.0,127443.0,62245.0,158638.0,0.0,413133.0,523205.0,1.0
9262,202400.0,2.0,,1.0,0.0,56.0,4.0,1.0,I,2.0,6.0,6.0,5.0,3437216.0,2679781.0,93005.0,68600.0,210900.0,737750.0,92968.0,68000.0,353145.0,66600.0,169035.0,0.0,474950.0,344828.0,1.0
9263,202400.0,2.0,1.0,1.0,0.0,56.0,4.0,1.0,I,6.0,6.0,6.0,5.0,2575971.0,1619254.0,99178.0,800.0,95725.0,508758.0,54750.0,0.0,9150.0,44393.0,82900.0,0.0,523625.0,199976.0,1.0
9264,202400.0,2.0,1.0,1.0,0.0,56.0,4.0,1.0,K,1.0,6.0,2.0,2.0,1632734.0,1359026.0,292450.0,0.0,53333.0,323370.0,2617.0,1650.0,78433.0,53917.0,38450.0,0.0,438237.0,76569.0,1.0
9265,202400.0,2.0,1.0,1.0,0.0,56.0,4.0,1.0,L,1.0,1.0,5.0,4.0,2217962.0,1337606.0,224329.0,0.0,85840.0,188778.0,33520.0,45533.0,15582.0,66336.0,77485.0,0.0,322250.0,277953.0,1.0
9266,202400.0,2.0,1.0,1.0,0.0,56.0,4.0,1.0,R,2.0,1.0,4.0,4.0,4469439.0,3846191.0,614715.0,1500.0,290033.0,133852.0,63622.0,81498.0,1744346.0,101798.0,33037.0,0.0,478926.0,302864.0,1.0
9267,202400.0,2.0,1.0,1.0,0.0,56.0,4.0,1.0,S,1.0,6.0,3.0,3.0,2149968.0,1860101.0,150797.0,23433.0,13617.0,355278.0,20100.0,436500.0,139578.0,57206.0,47456.0,0.0,557550.0,58586.0,1.0
9268,202400.0,2.0,1.0,1.0,0.0,56.0,5.0,1.0,H,4.0,6.0,1.0,,1787669.0,1615493.0,228639.0,3000.0,99683.0,623385.0,191233.0,126042.0,6317.0,56003.0,26009.0,0.0,74817.0,180365.0,1.0
9269,202400.0,2.0,1.0,1.0,0.0,56.0,5.0,1.0,I,4.0,1.0,10.0,8.0,5194636.0,3447598.0,270902.0,0.0,151500.0,196283.0,109827.0,334167.0,1376479.0,70709.0,159470.0,0.0,509283.0,268978.0,1.0
